Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.00 GiB
  Estimated current peak: 0.01 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.64 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 32000x6x6, Energy: 50, Angle: 5x5
Step 9000, t = 11.25/35, IDD = 0.00253005
Step 9100, t = 11.375/35, IDD = 0.00254084
Step 9200, t = 11.5/35, IDD = 0.00255184
Step 9300, t = 11.625/35, IDD = 0.00256306
Step 9400, t = 11.75/35, IDD = 0.00257451
Step 9500, t = 11.875/35, IDD = 0.00258619
Step 9600, t = 12/35, IDD = 0.00259812
Step 9700, t = 12.125/35, IDD = 0.00261029
Step 9800, t = 12.25/35, IDD = 0.00262273
Step 9900, t = 12.375/35, IDD = 0.00263545
Step 10000, t = 12.5/35, IDD = 0.00264845
Step 10100, t = 12.625/35, IDD = 0.00266178
Step 10200, t = 12.75/35, IDD = 0.00267542
Step 10300, t = 12.875/35, IDD = 0.0026894
Step 10400, t = 13/35, IDD = 0.00270372
Step 10500, t = 13.125/35, IDD = 0.00271836
Step 10600, t = 13.25/35, IDD = 0.00273331
Step 10700, t = 13.375/35, IDD = 0.00274857
Step 10800, t = 13.5/35, IDD = 0.00276415
Step 10900, t = 13.625/35, IDD = 0.00278007
Step 11000, t = 13.75/35, IDD = 0.0027964
Step 11100, t = 13.875/35, IDD = 0.00281323
Step 11200, t = 14/35, IDD = 0.00283065
Step 11300, t = 14.125/35, IDD = 0.00284878
Step 11400, t = 14.25/35, IDD = 0.00286768
Step 11500, t = 14.375/35, IDD = 0.00288737
Step 11600, t = 14.5/35, IDD = 0.00290778
Step 11700, t = 14.625/35, IDD = 0.00292876
Step 11800, t = 14.75/35, IDD = 0.0029501
Step 11900, t = 14.875/35, IDD = 0.00297152
Step 12000, t = 15/35, IDD = 0.00299281
Step 12100, t = 15.125/35, IDD = 0.00301384
Step 12200, t = 15.25/35, IDD = 0.00303469
Step 12300, t = 15.375/35, IDD = 0.00305566
Step 12400, t = 15.5/35, IDD = 0.00307736
Step 12500, t = 15.625/35, IDD = 0.00310059
Step 12600, t = 15.75/35, IDD = 0.00312633
Step 12700, t = 15.875/35, IDD = 0.00315558
Step 12800, t = 16/35, IDD = 0.00318912
Step 12900, t = 16.125/35, IDD = 0.00322736
Step 13000, t = 16.25/35, IDD = 0.00327013
Step 13100, t = 16.375/35, IDD = 0.00331652
Step 13200, t = 16.5/35, IDD = 0.00336492
Step 13300, t = 16.625/35, IDD = 0.00341303
Step 13400, t = 16.75/35, IDD = 0.00345812
Step 13500, t = 16.875/35, IDD = 0.00349737
Step 13600, t = 17/35, IDD = 0.00352829
Step 13700, t = 17.125/35, IDD = 0.00354923
Step 13800, t = 17.25/35, IDD = 0.00355983
Step 13900, t = 17.375/35, IDD = 0.0035614
Step 14000, t = 17.5/35, IDD = 0.00355719
Step 14100, t = 17.625/35, IDD = 0.00355238
Step 14200, t = 17.75/35, IDD = 0.0035539
Step 14300, t = 17.875/35, IDD = 0.00357002
Step 14400, t = 18/35, IDD = 0.00360963
Step 14500, t = 18.125/35, IDD = 0.00368153
Step 14600, t = 18.25/35, IDD = 0.00379341
Step 14700, t = 18.375/35, IDD = 0.00395104
Step 14800, t = 18.5/35, IDD = 0.00415745
Step 14900, t = 18.625/35, IDD = 0.00441226
Step 15000, t = 18.75/35, IDD = 0.00471137
Step 15100, t = 18.875/35, IDD = 0.00504684
Step 15200, t = 19/35, IDD = 0.00540716
Step 15300, t = 19.125/35, IDD = 0.0057778
Step 15400, t = 19.25/35, IDD = 0.00614206
Step 15500, t = 19.375/35, IDD = 0.00648208
Step 15600, t = 19.5/35, IDD = 0.00677994
Step 15700, t = 19.625/35, IDD = 0.00701885
Step 15800, t = 19.75/35, IDD = 0.00718423
Step 15900, t = 19.875/35, IDD = 0.00726459
Step 16000, t = 20/35, IDD = 0.00725228
Step 16100, t = 20.125/35, IDD = 0.00714386
Step 16200, t = 20.25/35, IDD = 0.00694024
Step 16300, t = 20.375/35, IDD = 0.00664654
Step 16400, t = 20.5/35, IDD = 0.00627165
Step 16500, t = 20.625/35, IDD = 0.00582762
Step 16600, t = 20.75/35, IDD = 0.0053289
Step 16700, t = 20.875/35, IDD = 0.00479142
Step 16800, t = 21/35, IDD = 0.00423172
Step 16900, t = 21.125/35, IDD = 0.00366607
Step 17000, t = 21.25/35, IDD = 0.0031097
Step 17100, t = 21.375/35, IDD = 0.00257613
Step 17200, t = 21.5/35, IDD = 0.00207673
Step 17300, t = 21.625/35, IDD = 0.0016204
Step 17400, t = 21.75/35, IDD = 0.00121341
Step 17500, t = 21.875/35, IDD = 0.000859475
Step 17600, t = 22/35, IDD = 0.000559895
Step 17700, t = 22.125/35, IDD = 0.000313808
Step 17800, t = 22.25/35, IDD = 0.000118551
Step 17900, t = 22.375/35, IDD = -2.99491e-05
Step 18000, t = 22.5/35, IDD = -0.000136776
Step 18100, t = 22.625/35, IDD = -0.000207627
Step 18200, t = 22.75/35, IDD = -0.000248458
Step 18300, t = 22.875/35, IDD = -0.000265171
Step 18400, t = 23/35, IDD = -0.000263355
Step 18500, t = 23.125/35, IDD = -0.000248104
Step 18600, t = 23.25/35, IDD = -0.00022388
Step 18700, t = 23.375/35, IDD = -0.000194446
Step 18800, t = 23.5/35, IDD = -0.000162846
Step 18900, t = 23.625/35, IDD = -0.000131424
Step 19000, t = 23.75/35, IDD = -0.000101884
Step 19100, t = 23.875/35, IDD = -7.53536e-05
Step 19200, t = 24/35, IDD = -5.24794e-05
Step 19300, t = 24.125/35, IDD = -3.35161e-05
Step 19400, t = 24.25/35, IDD = -1.8419e-05
Step 19500, t = 24.375/35, IDD = -6.92885e-06
Step 19600, t = 24.5/35, IDD = 1.35316e-06
Step 19700, t = 24.625/35, IDD = 6.90216e-06
Step 19800, t = 24.75/35, IDD = 1.02192e-05
Step 19900, t = 24.875/35, IDD = 1.17931e-05
Step 20000, t = 25/35, IDD = 1.20736e-05
Step 20100, t = 25.125/35, IDD = 1.14548e-05
Step 20200, t = 25.25/35, IDD = 1.02665e-05
Step 20300, t = 25.375/35, IDD = 8.77215e-06
Step 20400, t = 25.5/35, IDD = 7.17248e-06
Step 20500, t = 25.625/35, IDD = 5.61123e-06
Step 20600, t = 25.75/35, IDD = 4.18345e-06
Step 20700, t = 25.875/35, IDD = 2.94428e-06
Step 20800, t = 26/35, IDD = 1.91784e-06
Step 20900, t = 26.125/35, IDD = 1.10546e-06
Step 21000, t = 26.25/35, IDD = 4.92952e-07
Step 21100, t = 26.375/35, IDD = 5.6627e-08
Step 21200, t = 26.5/35, IDD = -2.31935e-07
Step 21300, t = 26.625/35, IDD = -4.02284e-07
Step 21400, t = 26.75/35, IDD = -4.82633e-07
Step 21500, t = 26.875/35, IDD = -4.98222e-07
Step 21600, t = 27/35, IDD = -4.70445e-07
Step 21700, t = 27.125/35, IDD = -4.16583e-07
Step 21800, t = 27.25/35, IDD = -3.49908e-07
Step 21900, t = 27.375/35, IDD = -2.8005e-07
Step 22000, t = 27.5/35, IDD = -2.13527e-07
Step 22100, t = 27.625/35, IDD = -1.54316e-07
Step 22200, t = 27.75/35, IDD = -1.04422e-07
Step 22300, t = 27.875/35, IDD = -6.44167e-08
Step 22400, t = 28/35, IDD = -3.38925e-08
Step 22500, t = 28.125/35, IDD = -1.18416e-08
Step 22600, t = 28.25/35, IDD = 3.047e-09
Step 22700, t = 28.375/35, IDD = 1.2185e-08
Step 22800, t = 28.5/35, IDD = 1.69412e-08
Step 22900, t = 28.625/35, IDD = 1.85444e-08
Step 23000, t = 28.75/35, IDD = 1.80255e-08
Step 23100, t = 28.875/35, IDD = 1.62105e-08
Step 23200, t = 29/35, IDD = 1.37292e-08
Step 23300, t = 29.125/35, IDD = 1.10349e-08
Step 23400, t = 29.25/35, IDD = 8.43163e-09
Step 23500, t = 29.375/35, IDD = 6.10301e-09
Step 23600, t = 29.5/35, IDD = 4.14202e-09
Step 23700, t = 29.625/35, IDD = 2.5761e-09
Step 23800, t = 29.75/35, IDD = 1.38816e-09
Step 23900, t = 29.875/35, IDD = 5.35774e-10
Step 24000, t = 30/35, IDD = -3.58188e-11
Step 24100, t = 30.125/35, IDD = -3.84568e-10
Step 24200, t = 30.25/35, IDD = -5.65562e-10
Step 24300, t = 30.375/35, IDD = -6.27407e-10
Step 24400, t = 30.5/35, IDD = -6.10503e-10
Step 24500, t = 30.625/35, IDD = -5.46658e-10
Step 24600, t = 30.75/35, IDD = -4.59589e-10
Step 24700, t = 30.875/35, IDD = -3.65936e-10
Step 24800, t = 31/35, IDD = -2.7651e-10
Step 24900, t = 31.125/35, IDD = -1.97575e-10
Step 25000, t = 31.25/35, IDD = -1.32043e-10
Step 25100, t = 31.375/35, IDD = -8.05075e-11
Step 25200, t = 31.5/35, IDD = -4.20872e-11
Step 25300, t = 31.625/35, IDD = -1.50733e-11
Step 25400, t = 31.75/35, IDD = 2.59596e-12
Step 25500, t = 31.875/35, IDD = 1.30138e-11
Step 25600, t = 32/35, IDD = 1.81047e-11
Step 25700, t = 32.125/35, IDD = 1.95171e-11
Step 25800, t = 32.25/35, IDD = 1.85828e-11
Step 25900, t = 32.375/35, IDD = 1.63204e-11
Step 26000, t = 32.5/35, IDD = 1.34662e-11
Step 26100, t = 32.625/35, IDD = 1.05184e-11
Step 26200, t = 32.75/35, IDD = 7.78565e-12
Step 26300, t = 32.875/35, IDD = 5.4338e-12
Step 26400, t = 33/35, IDD = 3.52739e-12
Step 26500, t = 33.125/35, IDD = 2.06398e-12
Step 26600, t = 33.25/35, IDD = 1.00106e-12
Step 26700, t = 33.375/35, IDD = 2.75972e-13
Step 26800, t = 33.5/35, IDD = -1.80183e-13
Step 26900, t = 33.625/35, IDD = -4.33652e-13
Step 27000, t = 33.75/35, IDD = -5.42904e-13
Step 27100, t = 33.875/35, IDD = -5.56287e-13
Step 27200, t = 34/35, IDD = -5.11578e-13
Step 27300, t = 34.125/35, IDD = -4.36697e-13
Step 27400, t = 34.25/35, IDD = -3.51062e-13
Step 27500, t = 34.375/35, IDD = -2.67203e-13
Step 27600, t = 34.5/35, IDD = -1.92372e-13
Step 27700, t = 34.625/35, IDD = -1.29998e-13
Step 27800, t = 34.75/35, IDD = -8.09208e-14
Step 27900, t = 34.875/35, IDD = -4.43649e-14
Step 28000, t = 35/35, IDD = -1.86757e-14
Solver completed. Paper-style IDD saved to idd_output.txt
Diagnostic scalar proxy saved to dose_output.txt
