Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.00 GiB
  Estimated current peak: 0.01 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.64 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 32000x6x6, Energy: 50, Angle: 5x5
Step 20100, t = 25.125/35, IDD = 0.00625206
Step 20200, t = 25.25/35, IDD = 0.00629822
Step 20300, t = 25.375/35, IDD = 0.00634805
Step 20400, t = 25.5/35, IDD = 0.00640131
Step 20500, t = 25.625/35, IDD = 0.00645753
Step 20600, t = 25.75/35, IDD = 0.006516
Step 20700, t = 25.875/35, IDD = 0.00657577
Step 20800, t = 26/35, IDD = 0.0066357
Step 20900, t = 26.125/35, IDD = 0.0066945
Step 21000, t = 26.25/35, IDD = 0.00675074
Step 21100, t = 26.375/35, IDD = 0.00680302
Step 21200, t = 26.5/35, IDD = 0.00684998
Step 21300, t = 26.625/35, IDD = 0.0068904
Step 21400, t = 26.75/35, IDD = 0.00692335
Step 21500, t = 26.875/35, IDD = 0.00694826
Step 21600, t = 27/35, IDD = 0.00696498
Step 21700, t = 27.125/35, IDD = 0.00697391
Step 21800, t = 27.25/35, IDD = 0.006976
Step 21900, t = 27.375/35, IDD = 0.00697286
Step 22000, t = 27.5/35, IDD = 0.0069667
Step 22100, t = 27.625/35, IDD = 0.00696034
Step 22200, t = 27.75/35, IDD = 0.00695716
Step 22300, t = 27.875/35, IDD = 0.00696102
Step 22400, t = 28/35, IDD = 0.0069761
Step 22500, t = 28.125/35, IDD = 0.00700684
Step 22600, t = 28.25/35, IDD = 0.00705772
Step 22700, t = 28.375/35, IDD = 0.0071331
Step 22800, t = 28.5/35, IDD = 0.00723705
Step 22900, t = 28.625/35, IDD = 0.00737315
Step 23000, t = 28.75/35, IDD = 0.00754432
Step 23100, t = 28.875/35, IDD = 0.00775266
Step 23200, t = 29/35, IDD = 0.00799928
Step 23300, t = 29.125/35, IDD = 0.00828423
Step 23400, t = 29.25/35, IDD = 0.00860638
Step 23500, t = 29.375/35, IDD = 0.00896338
Step 23600, t = 29.5/35, IDD = 0.00935168
Step 23700, t = 29.625/35, IDD = 0.00976651
Step 23800, t = 29.75/35, IDD = 0.010202
Step 23900, t = 29.875/35, IDD = 0.0106514
Step 24000, t = 30/35, IDD = 0.011107
Step 24100, t = 30.125/35, IDD = 0.0115604
Step 24200, t = 30.25/35, IDD = 0.0120029
Step 24300, t = 30.375/35, IDD = 0.0124255
Step 24400, t = 30.5/35, IDD = 0.0128192
Step 24500, t = 30.625/35, IDD = 0.0131754
Step 24600, t = 30.75/35, IDD = 0.0134857
Step 24700, t = 30.875/35, IDD = 0.0137426
Step 24800, t = 31/35, IDD = 0.0139393
Step 24900, t = 31.125/35, IDD = 0.0140704
Step 25000, t = 31.25/35, IDD = 0.0141312
Step 25100, t = 31.375/35, IDD = 0.0141187
Step 25200, t = 31.5/35, IDD = 0.0140311
Step 25300, t = 31.625/35, IDD = 0.0138679
Step 25400, t = 31.75/35, IDD = 0.0136301
Step 25500, t = 31.875/35, IDD = 0.0133201
Step 25600, t = 32/35, IDD = 0.0129413
Step 25700, t = 32.125/35, IDD = 0.0124985
Step 25800, t = 32.25/35, IDD = 0.0119974
Step 25900, t = 32.375/35, IDD = 0.0114445
Step 26000, t = 32.5/35, IDD = 0.0108471
Step 26100, t = 32.625/35, IDD = 0.0102131
Step 26200, t = 32.75/35, IDD = 0.00955045
Step 26300, t = 32.875/35, IDD = 0.00886751
Step 26400, t = 33/35, IDD = 0.0081725
Step 26500, t = 33.125/35, IDD = 0.00747346
Step 26600, t = 33.25/35, IDD = 0.00677808
Step 26700, t = 33.375/35, IDD = 0.00609358
Step 26800, t = 33.5/35, IDD = 0.00542658
Step 26900, t = 33.625/35, IDD = 0.00478302
Step 27000, t = 33.75/35, IDD = 0.00416808
Step 27100, t = 33.875/35, IDD = 0.00358615
Step 27200, t = 34/35, IDD = 0.00304078
Step 27300, t = 34.125/35, IDD = 0.00253471
Step 27400, t = 34.25/35, IDD = 0.00206986
Step 27500, t = 34.375/35, IDD = 0.00164733
Step 27600, t = 34.5/35, IDD = 0.00126753
Step 27700, t = 34.625/35, IDD = 0.000930167
Step 27800, t = 34.75/35, IDD = 0.000634335
Step 27900, t = 34.875/35, IDD = 0.000378597
Step 28000, t = 35/35, IDD = 0.00016106
Solver completed. Paper-style IDD saved to idd_output.txt
Diagnostic scalar proxy saved to dose_output.txt
