Found 1 CUDA device(s)

Device 0: NVIDIA GeForce RTX 5070 Ti
  Compute Capability: 12.0
  Total Memory: 16302 MB
  Multiprocessors: 70
  Max Threads/Block: 1024

Memory estimate:
  Mode: full
  One phase-space double array: 0.00 GiB
  Estimated current peak: 0.01 GiB plus safety margin 2.89 GiB
  GPU memory free/total: 14.64 GiB / 15.92 GiB
Discrete beam angle center: |omega_y|=0, |omega_z|=0
Starting BFPn solver...
Grid: 16000x6x6, Energy: 50, Angle: 5x5
Step 8600, t = 21.5/35, IDD = 0.00547125
Step 8700, t = 21.75/35, IDD = 0.00551276
Step 8800, t = 22/35, IDD = 0.0055561
Step 8900, t = 22.25/35, IDD = 0.00560165
Step 9000, t = 22.5/35, IDD = 0.00564966
Step 9100, t = 22.75/35, IDD = 0.00570001
Step 9200, t = 23/35, IDD = 0.0057522
Step 9300, t = 23.25/35, IDD = 0.00580532
Step 9400, t = 23.5/35, IDD = 0.00585838
Step 9500, t = 23.75/35, IDD = 0.00591072
Step 9600, t = 24/35, IDD = 0.00596252
Step 9700, t = 24.25/35, IDD = 0.00601517
Step 9800, t = 24.5/35, IDD = 0.0060714
Step 9900, t = 24.75/35, IDD = 0.00613492
Step 10000, t = 25/35, IDD = 0.00620959
Step 10100, t = 25.25/35, IDD = 0.00629822
Step 10200, t = 25.5/35, IDD = 0.00640131
Step 10300, t = 25.75/35, IDD = 0.00651599
Step 10400, t = 26/35, IDD = 0.0066357
Step 10500, t = 26.25/35, IDD = 0.00675074
Step 10600, t = 26.5/35, IDD = 0.00684997
Step 10700, t = 26.75/35, IDD = 0.00692335
Step 10800, t = 27/35, IDD = 0.00696498
Step 10900, t = 27.25/35, IDD = 0.006976
Step 11000, t = 27.5/35, IDD = 0.0069667
Step 11100, t = 27.75/35, IDD = 0.00695717
Step 11200, t = 28/35, IDD = 0.00697611
Step 11300, t = 28.25/35, IDD = 0.00705772
Step 11400, t = 28.5/35, IDD = 0.00723705
Step 11500, t = 28.75/35, IDD = 0.00754432
Step 11600, t = 29/35, IDD = 0.00799928
Step 11700, t = 29.25/35, IDD = 0.00860637
Step 11800, t = 29.5/35, IDD = 0.00935167
Step 11900, t = 29.75/35, IDD = 0.010202
Step 12000, t = 30/35, IDD = 0.0111069
Step 12100, t = 30.25/35, IDD = 0.0120029
Step 12200, t = 30.5/35, IDD = 0.0128192
Step 12300, t = 30.75/35, IDD = 0.0134857
Step 12400, t = 31/35, IDD = 0.0139393
Step 12500, t = 31.25/35, IDD = 0.0141312
Step 12600, t = 31.5/35, IDD = 0.0140311
Step 12700, t = 31.75/35, IDD = 0.0136301
Step 12800, t = 32/35, IDD = 0.0129413
Step 12900, t = 32.25/35, IDD = 0.0119974
Step 13000, t = 32.5/35, IDD = 0.0108471
Step 13100, t = 32.75/35, IDD = 0.00955046
Step 13200, t = 33/35, IDD = 0.00817252
Step 13300, t = 33.25/35, IDD = 0.00677809
Step 13400, t = 33.5/35, IDD = 0.00542659
Step 13500, t = 33.75/35, IDD = 0.00416809
Step 13600, t = 34/35, IDD = 0.00304079
Step 13700, t = 34.25/35, IDD = 0.00206986
Step 13800, t = 34.5/35, IDD = 0.00126753
Step 13900, t = 34.75/35, IDD = 0.000634332
Step 14000, t = 35/35, IDD = 0.000161056
Solver completed. Paper-style IDD saved to idd_output.txt
Diagnostic scalar proxy saved to dose_output.txt
